family,shape,M,N,K,ai,auto_ms,wmma_tf32_ms,cublas_fp32_ms,cublas_tf32_ms,tiled_ms,vec_ms,naive_ms,auto_tflops,wmma_tf32_tflops,cublas_fp32_tflops,cublas_tf32_tflops,speedup_fp32,win,relerr,relerr_tf32,bytes
square,128×128×128,128,128,128,21.3333,0.014062,0.014830,0.021690,0.009451,-1.000000,-1.000000,-1.000000,0.2983,0.2828,0.1934,0.4438,1.5425,1,3.618e-07,6.810e-04,196608
square,256×256×256,256,256,256,42.6667,0.012646,0.011013,0.016712,0.009246,-1.000000,-1.000000,-1.000000,2.6533,3.0469,2.0077,3.6290,1.3215,1,8.198e-07,7.066e-04,786432
square,512×512×512,512,512,512,85.3333,0.076341,0.023622,0.023434,0.012434,-1.000000,-1.000000,-1.000000,3.5163,11.3640,11.4551,21.5891,0.3070,0,9.579e-07,6.926e-04,3145728
square,1024×1024×1024,1024,1024,1024,170.6667,0.154885,0.138557,0.086970,0.047735,-1.000000,-1.000000,-1.000000,13.8651,15.4989,24.6924,44.9874,0.5615,0,1.733e-06,7.433e-04,12582912
square,2048×2048×2048,2048,2048,2048,341.3333,0.781109,0.941770,0.485442,0.320410,-1.000000,-1.000000,-1.000000,21.9942,18.2421,35.3902,53.6185,0.6215,0,1.851e-06,6.953e-04,50331648
square,4096×4096×4096,4096,4096,4096,682.6667,5.963604,7.574556,3.735411,2.589759,-1.000000,-1.000000,-1.000000,23.0463,18.1448,36.7935,53.0702,0.6264,0,2.948e-06,6.962e-04,201326592
